,mean,sd,hdi_3%,hdi_97%
beta_37[19],0.002,0.036,-0.068,0.071
beta_37[12],-0.087,0.052,-0.193,0.007
beta_37[7],0.002,0.034,-0.059,0.072
beta_37[6],0.09,0.049,0.001,0.188
beta_37[21],-0.0,0.036,-0.07,0.068
beta_37[20],-0.009,0.039,-0.084,0.065
beta_37[33],0.012,0.036,-0.056,0.082
beta_37[45],0.001,0.037,-0.073,0.069
beta_37[17],-0.006,0.038,-0.086,0.062
beta_37[29],0.008,0.036,-0.062,0.078
beta_37[40],-0.096,0.051,-0.198,-0.005
beta_37[38],0.016,0.036,-0.046,0.093
beta_37[24],-0.1,0.052,-0.202,-0.005
beta_37[34],0.002,0.035,-0.066,0.069
beta_37[44],0.015,0.035,-0.048,0.084
beta_37[30],0.09,0.049,-0.005,0.179
beta_37[23],-0.001,0.038,-0.068,0.077
beta_37[32],0.094,0.049,-0.002,0.183
beta_37[15],0.008,0.033,-0.045,0.083
beta_37[4],-0.004,0.035,-0.07,0.066
beta_37[26],-0.092,0.052,-0.195,0.005
beta_37[42],0.096,0.051,0.002,0.196
beta_37[13],-0.001,0.036,-0.071,0.069
beta_37[14],0.007,0.038,-0.065,0.09
beta_37[43],0.003,0.033,-0.061,0.067
beta_37[3],0.009,0.035,-0.053,0.079
beta_37[49],0.004,0.034,-0.063,0.068
beta_37[46],-0.003,0.064,-0.131,0.111
beta_37[37],0.013,0.034,-0.052,0.074
beta_37[31],-0.002,0.039,-0.081,0.067
beta_37[9],0.098,0.049,0.008,0.191
beta_37[16],0.001,0.035,-0.067,0.072
beta_37[28],-0.004,0.037,-0.078,0.064
beta_37[41],0.006,0.036,-0.06,0.075
beta_37[11],-0.085,0.052,-0.183,0.017
beta_37[25],0.004,0.035,-0.06,0.072
beta_37[35],0.016,0.036,-0.042,0.09
beta_37[22],0.018,0.04,-0.041,0.106
beta_37[27],0.099,0.05,0.008,0.198
beta_37[2],0.006,0.032,-0.052,0.076
beta_37[47],-0.007,0.064,-0.124,0.119
beta_37[5],-0.0,0.033,-0.065,0.066
beta_37[36],0.012,0.036,-0.057,0.078
beta_37[48],0.006,0.035,-0.058,0.078
g_beta_38[0],-0.121,0.021,-0.165,-0.081
g_beta_38[1],0.002,0.053,-0.095,0.112
g_beta_38[2],0.09,0.047,0.004,0.176
beta_38[1],-0.121,0.037,-0.188,-0.049
beta_38[18],-0.127,0.038,-0.194,-0.05
beta_38[39],-0.042,0.054,-0.142,0.063
beta_38[8],-0.12,0.054,-0.226,-0.018
beta_38[10],-0.022,0.054,-0.117,0.076
beta_38[0],-0.113,0.053,-0.215,-0.011
beta_38[19],-0.122,0.036,-0.187,-0.056
beta_38[12],-0.03,0.052,-0.122,0.071
beta_38[7],-0.118,0.041,-0.191,-0.039
beta_38[6],-0.123,0.055,-0.238,-0.026
beta_38[21],-0.141,0.048,-0.236,-0.067
beta_38[20],-0.108,0.041,-0.177,-0.027
beta_38[33],-0.131,0.041,-0.207,-0.064
beta_38[45],-0.12,0.037,-0.184,-0.044
beta_38[17],-0.119,0.036,-0.183,-0.047
beta_38[29],-0.126,0.036,-0.197,-0.061
beta_38[40],-0.034,0.054,-0.127,0.075
beta_38[38],-0.119,0.037,-0.185,-0.048
beta_38[24],-0.029,0.052,-0.117,0.075
beta_38[34],-0.114,0.036,-0.187,-0.047
beta_38[44],-0.131,0.039,-0.201,-0.059
beta_38[30],-0.119,0.052,-0.22,-0.019
beta_38[23],-0.121,0.036,-0.192,-0.057
beta_38[32],-0.124,0.055,-0.236,-0.022
beta_38[15],-0.124,0.037,-0.187,-0.052
beta_38[4],-0.127,0.033,-0.191,-0.064
beta_38[26],-0.048,0.057,-0.15,0.067
beta_38[42],-0.114,0.054,-0.216,-0.01
beta_38[13],-0.118,0.036,-0.185,-0.054
beta_38[14],-0.122,0.036,-0.202,-0.06
beta_38[43],-0.118,0.035,-0.186,-0.055
beta_38[3],-0.129,0.036,-0.196,-0.056
beta_38[49],-0.109,0.04,-0.179,-0.031
beta_38[46],-0.025,0.066,-0.144,0.106
beta_38[37],-0.117,0.035,-0.18,-0.05
beta_38[31],-0.124,0.039,-0.199,-0.052
beta_38[9],-0.122,0.054,-0.221,-0.008
beta_38[16],-0.119,0.035,-0.184,-0.051
beta_38[28],-0.108,0.041,-0.182,-0.027
beta_38[41],-0.108,0.042,-0.187,-0.028
beta_38[11],-0.02,0.054,-0.112,0.081
beta_38[25],-0.126,0.035,-0.194,-0.064
beta_38[35],-0.122,0.035,-0.185,-0.05
beta_38[22],-0.12,0.035,-0.188,-0.054
beta_38[27],-0.124,0.055,-0.229,-0.018
beta_38[2],-0.119,0.034,-0.183,-0.053
beta_38[47],-0.023,0.067,-0.135,0.111
beta_38[5],-0.122,0.036,-0.195,-0.057
beta_38[36],-0.125,0.035,-0.197,-0.062
beta_38[48],-0.119,0.035,-0.182,-0.05
g_beta_39[0],-0.078,0.018,-0.112,-0.048
g_beta_39[1],0.035,0.032,-0.02,0.094
g_beta_39[2],-0.038,0.03,-0.098,0.012
beta_39[1],-0.077,0.027,-0.133,-0.032
beta_39[18],-0.081,0.027,-0.139,-0.035
beta_39[39],-0.12,0.033,-0.184,-0.058
beta_39[8],-0.041,0.037,-0.108,0.029
beta_39[10],-0.122,0.032,-0.181,-0.061
beta_39[0],-0.044,0.035,-0.108,0.019
beta_39[19],-0.084,0.028,-0.141,-0.037
beta_39[12],-0.113,0.03,-0.169,-0.052
beta_39[7],-0.074,0.028,-0.128,-0.02
beta_39[6],-0.042,0.035,-0.106,0.022
beta_39[21],-0.086,0.03,-0.147,-0.033
beta_39[20],-0.076,0.028,-0.132,-0.026
beta_39[33],-0.073,0.027,-0.124,-0.022
beta_39[45],-0.077,0.029,-0.14,-0.03
beta_39[17],-0.07,0.028,-0.12,-0.012
beta_39[29],-0.077,0.027,-0.135,-0.029
beta_39[40],-0.114,0.034,-0.175,-0.044
beta_39[38],-0.076,0.027,-0.132,-0.027
beta_39[24],-0.113,0.032,-0.172,-0.051
beta_39[34],-0.078,0.028,-0.131,-0.027
beta_39[44],-0.087,0.031,-0.143,-0.035
beta_39[30],-0.05,0.039,-0.126,0.017
beta_39[23],-0.078,0.028,-0.135,-0.027
beta_39[32],-0.045,0.037,-0.115,0.021
beta_39[15],-0.072,0.028,-0.127,-0.016
beta_39[4],-0.086,0.031,-0.143,-0.027
beta_39[26],-0.12,0.034,-0.193,-0.062
beta_39[42],-0.041,0.035,-0.104,0.027
beta_39[13],-0.066,0.03,-0.124,-0.006
beta_39[14],-0.074,0.029,-0.134,-0.022
beta_39[43],-0.088,0.031,-0.15,-0.036
beta_39[3],-0.073,0.029,-0.128,-0.015
beta_39[49],-0.084,0.03,-0.145,-0.032
beta_39[46],-0.084,0.038,-0.156,-0.017
beta_39[37],-0.079,0.028,-0.137,-0.027
beta_39[31],-0.085,0.03,-0.148,-0.037
beta_39[9],-0.037,0.036,-0.102,0.029
beta_39[16],-0.08,0.026,-0.129,-0.031
beta_39[28],-0.076,0.028,-0.133,-0.025
beta_39[41],-0.07,0.027,-0.122,-0.018
beta_39[11],-0.108,0.032,-0.165,-0.047
beta_39[25],-0.081,0.028,-0.133,-0.03
beta_39[35],-0.081,0.028,-0.136,-0.028
beta_39[22],-0.082,0.028,-0.135,-0.032
beta_39[27],-0.045,0.038,-0.116,0.022
beta_39[2],-0.075,0.026,-0.13,-0.03
beta_39[47],-0.082,0.038,-0.15,-0.011
beta_39[5],-0.076,0.029,-0.138,-0.028
beta_39[36],-0.075,0.026,-0.127,-0.027
beta_39[48],-0.072,0.028,-0.124,-0.013
"beta_protocol[1, beta_0]",-0.224,0.052,-0.326,-0.131
"beta_protocol[1, beta_1]",-0.229,0.077,-0.376,-0.093
"beta_protocol[1, beta_2]",-0.17,0.049,-0.272,-0.088
"beta_protocol[1, beta_3]",0.22,0.05,0.131,0.316
"beta_protocol[1, beta_4]",-0.278,0.043,-0.363,-0.195
"beta_protocol[1, beta_5]",-0.278,0.063,-0.398,-0.157
"beta_protocol[1, beta_6]",-0.332,0.069,-0.461,-0.205
"beta_protocol[1, beta_7]",0.067,0.085,-0.086,0.233
"beta_protocol[1, beta_8]",-0.362,0.058,-0.473,-0.253
"beta_protocol[1, beta_9]",0.339,0.049,0.248,0.425
"beta_protocol[1, beta_10]",-0.11,0.065,-0.232,0.013
"beta_protocol[1, beta_11]",0.308,0.105,0.113,0.508
"beta_protocol[1, beta_12]",0.227,0.069,0.094,0.347
"beta_protocol[1, beta_13]",0.684,0.126,0.435,0.904
"beta_protocol[1, beta_14]",-0.052,0.06,-0.174,0.056
"beta_protocol[1, beta_15]",-0.124,0.052,-0.218,-0.019
"beta_protocol[1, beta_16]",0.37,0.073,0.223,0.486
"beta_protocol[1, beta_17]",-0.046,0.089,-0.226,0.108
"beta_protocol[1, beta_18]",0.393,0.042,0.316,0.471
"beta_protocol[1, beta_19]",-0.003,0.085,-0.159,0.16
"beta_protocol[1, beta_20]",0.132,0.05,0.031,0.216
"beta_protocol[1, beta_21]",-0.446,0.101,-0.634,-0.258
"beta_protocol[1, beta_22]",0.174,0.07,0.04,0.303
"beta_protocol[1, beta_23]",-0.026,0.06,-0.136,0.087
"beta_protocol[1, beta_24]",0.39,0.07,0.251,0.513
"beta_protocol[1, beta_25]",0.84,0.122,0.611,1.062
"beta_protocol[1, beta_26]",0.148,0.051,0.05,0.24
"beta_protocol[1, beta_27]",0.235,0.11,0.044,0.447
"beta_protocol[1, beta_28]",0.483,0.064,0.372,0.615
"beta_protocol[1, beta_29]",0.296,0.06,0.18,0.407
"beta_protocol[1, beta_30]",-0.43,0.079,-0.58,-0.283
"beta_protocol[1, beta_31]",0.472,0.108,0.262,0.672
"beta_protocol[1, beta_32]",-0.36,0.069,-0.489,-0.236
"beta_protocol[1, beta_33]",-0.274,0.11,-0.492,-0.078
"beta_protocol[1, beta_34]",-0.109,0.075,-0.249,0.034
"beta_protocol[1, beta_35]",-0.15,0.081,-0.312,-0.01
"beta_protocol[1, beta_36]",0.037,0.081,-0.114,0.19
"beta_protocol[1, beta_37]",0.02,0.056,-0.085,0.126
"beta_protocol[1, beta_38]",-0.129,0.068,-0.256,0.002
"beta_protocol[1, beta_39]",-0.078,0.034,-0.146,-0.018
"beta_protocol[18, beta_0]",-0.243,0.048,-0.331,-0.147
"beta_protocol[18, beta_1]",-0.21,0.071,-0.342,-0.074
"beta_protocol[18, beta_2]",-0.159,0.047,-0.252,-0.075
"beta_protocol[18, beta_3]",0.22,0.049,0.126,0.317
"beta_protocol[18, beta_4]",-0.269,0.04,-0.343,-0.19
"beta_protocol[18, beta_5]",-0.231,0.058,-0.341,-0.126
"beta_protocol[18, beta_6]",-0.275,0.063,-0.386,-0.15
"beta_protocol[18, beta_7]",0.069,0.078,-0.074,0.215
"beta_protocol[18, beta_8]",-0.383,0.059,-0.495,-0.274
"beta_protocol[18, beta_9]",0.359,0.053,0.272,0.471
"beta_protocol[18, beta_10]",-0.163,0.062,-0.283,-0.055
"beta_protocol[18, beta_11]",0.222,0.099,0.029,0.408
"beta_protocol[18, beta_12]",0.188,0.057,0.078,0.294
"beta_protocol[18, beta_13]",0.501,0.11,0.29,0.699
"beta_protocol[18, beta_14]",-0.036,0.056,-0.142,0.067
"beta_protocol[18, beta_15]",-0.095,0.052,-0.183,0.012
"beta_protocol[18, beta_16]",0.434,0.065,0.302,0.552
"beta_protocol[18, beta_17]",0.043,0.093,-0.113,0.243
"beta_protocol[18, beta_18]",0.375,0.037,0.308,0.443
"beta_protocol[18, beta_19]",0.011,0.083,-0.132,0.172
"beta_protocol[18, beta_20]",0.169,0.042,0.09,0.251
"beta_protocol[18, beta_21]",-0.457,0.104,-0.67,-0.271
"beta_protocol[18, beta_22]",0.146,0.064,0.027,0.272
"beta_protocol[18, beta_23]",0.0,0.064,-0.114,0.122
"beta_protocol[18, beta_24]",0.373,0.071,0.249,0.511
"beta_protocol[18, beta_25]",0.603,0.116,0.377,0.817
"beta_protocol[18, beta_26]",0.179,0.045,0.095,0.271
"beta_protocol[18, beta_27]",-0.022,0.086,-0.189,0.125
"beta_protocol[18, beta_28]",0.478,0.061,0.365,0.6
"beta_protocol[18, beta_29]",0.351,0.056,0.253,0.458
"beta_protocol[18, beta_30]",-0.456,0.08,-0.603,-0.305
"beta_protocol[18, beta_31]",0.648,0.107,0.454,0.854
"beta_protocol[18, beta_32]",-0.238,0.068,-0.362,-0.108
"beta_protocol[18, beta_33]",-0.124,0.095,-0.29,0.063
"beta_protocol[18, beta_34]",-0.03,0.068,-0.161,0.1
"beta_protocol[18, beta_35]",-0.184,0.074,-0.316,-0.04
"beta_protocol[18, beta_36]",0.018,0.077,-0.127,0.161
"beta_protocol[18, beta_37]",0.064,0.059,-0.037,0.181
"beta_protocol[18, beta_38]",-0.127,0.062,-0.254,-0.019
"beta_protocol[18, beta_39]",-0.087,0.035,-0.155,-0.025
"beta_protocol[39, beta_0]",-0.149,0.066,-0.278,-0.023
"beta_protocol[39, beta_1]",-0.159,0.077,-0.3,-0.012
"beta_protocol[39, beta_2]",-0.103,0.065,-0.237,0.01
"beta_protocol[39, beta_3]",0.149,0.066,0.026,0.268
"beta_protocol[39, beta_4]",-0.16,0.054,-0.267,-0.069
"beta_protocol[39, beta_5]",-0.235,0.067,-0.357,-0.11
"beta_protocol[39, beta_6]",-0.116,0.071,-0.244,0.019
"beta_protocol[39, beta_7]",0.047,0.099,-0.121,0.252
"beta_protocol[39, beta_8]",-0.19,0.067,-0.322,-0.062
"beta_protocol[39, beta_9]",0.242,0.059,0.138,0.36
"beta_protocol[39, beta_10]",-0.098,0.071,-0.24,0.034
"beta_protocol[39, beta_11]",0.057,0.111,-0.143,0.263
"beta_protocol[39, beta_12]",0.21,0.085,0.06,0.366
"beta_protocol[39, beta_13]",0.713,0.131,0.469,0.96
"beta_protocol[39, beta_14]",0.043,0.064,-0.085,0.158
"beta_protocol[39, beta_15]",-0.018,0.069,-0.14,0.111
"beta_protocol[39, beta_16]",0.425,0.07,0.288,0.549
"beta_protocol[39, beta_17]",0.286,0.122,0.042,0.493
"beta_protocol[39, beta_18]",0.221,0.048,0.127,0.308
"beta_protocol[39, beta_19]",-0.147,0.099,-0.351,0.024
"beta_protocol[39, beta_20]",0.104,0.049,0.012,0.196
"beta_protocol[39, beta_21]",-0.288,0.122,-0.531,-0.07
"beta_protocol[39, beta_22]",0.106,0.071,-0.025,0.241
"beta_protocol[39, beta_23]",-0.091,0.07,-0.222,0.04
"beta_protocol[39, beta_24]",0.357,0.08,0.202,0.499
"beta_protocol[39, beta_25]",0.672,0.119,0.461,0.91
"beta_protocol[39, beta_26]",0.126,0.055,0.017,0.225
"beta_protocol[39, beta_27]",0.379,0.122,0.137,0.602
"beta_protocol[39, beta_28]",0.494,0.071,0.37,0.632
"beta_protocol[39, beta_29]",0.254,0.061,0.132,0.366
"beta_protocol[39, beta_30]",-0.46,0.087,-0.615,-0.291
"beta_protocol[39, beta_31]",0.514,0.119,0.288,0.735
"beta_protocol[39, beta_32]",-0.411,0.072,-0.549,-0.279
"beta_protocol[39, beta_33]",-0.311,0.107,-0.507,-0.104
"beta_protocol[39, beta_34]",-0.083,0.081,-0.236,0.069
"beta_protocol[39, beta_35]",-0.023,0.08,-0.179,0.129
"beta_protocol[39, beta_36]",-0.112,0.085,-0.278,0.041
"beta_protocol[39, beta_37]",-0.056,0.065,-0.175,0.065
"beta_protocol[39, beta_38]",-0.185,0.071,-0.323,-0.057
"beta_protocol[39, beta_39]",-0.128,0.041,-0.209,-0.055
"beta_protocol[8, beta_0]",-0.172,0.057,-0.277,-0.064
"beta_protocol[8, beta_1]",-0.271,0.078,-0.409,-0.118
"beta_protocol[8, beta_2]",-0.178,0.059,-0.278,-0.057
"beta_protocol[8, beta_3]",0.171,0.062,0.048,0.279
"beta_protocol[8, beta_4]",-0.229,0.057,-0.336,-0.122
"beta_protocol[8, beta_5]",-0.31,0.063,-0.427,-0.192
"beta_protocol[8, beta_6]",-0.237,0.066,-0.372,-0.119
"beta_protocol[8, beta_7]",0.092,0.093,-0.081,0.258
"beta_protocol[8, beta_8]",-0.392,0.073,-0.539,-0.26
"beta_protocol[8, beta_9]",0.272,0.062,0.166,0.394
"beta_protocol[8, beta_10]",-0.063,0.067,-0.188,0.064
"beta_protocol[8, beta_11]",0.523,0.113,0.325,0.756
"beta_protocol[8, beta_12]",0.18,0.065,0.049,0.299
"beta_protocol[8, beta_13]",0.473,0.115,0.258,0.681
"beta_protocol[8, beta_14]",-0.192,0.064,-0.308,-0.068
"beta_protocol[8, beta_15]",-0.199,0.07,-0.329,-0.073
"beta_protocol[8, beta_16]",0.533,0.075,0.39,0.669
"beta_protocol[8, beta_17]",-0.178,0.102,-0.38,0.016
"beta_protocol[8, beta_18]",0.428,0.063,0.315,0.551
"beta_protocol[8, beta_19]",0.078,0.093,-0.097,0.248
"beta_protocol[8, beta_20]",0.077,0.061,-0.039,0.185
"beta_protocol[8, beta_21]",-0.301,0.125,-0.532,-0.066
"beta_protocol[8, beta_22]",0.073,0.067,-0.053,0.202
"beta_protocol[8, beta_23]",-0.092,0.085,-0.25,0.07
"beta_protocol[8, beta_24]",0.416,0.082,0.263,0.57
"beta_protocol[8, beta_25]",0.88,0.136,0.631,1.138
"beta_protocol[8, beta_26]",0.171,0.055,0.067,0.266
"beta_protocol[8, beta_27]",0.282,0.113,0.076,0.491
"beta_protocol[8, beta_28]",0.338,0.077,0.207,0.494
"beta_protocol[8, beta_29]",0.208,0.063,0.094,0.328
"beta_protocol[8, beta_30]",-0.52,0.097,-0.698,-0.327
"beta_protocol[8, beta_31]",0.321,0.112,0.124,0.541
"beta_protocol[8, beta_32]",-0.386,0.069,-0.514,-0.252
"beta_protocol[8, beta_33]",-0.375,0.106,-0.567,-0.167
"beta_protocol[8, beta_34]",-0.163,0.077,-0.304,-0.012
"beta_protocol[8, beta_35]",-0.183,0.081,-0.328,-0.022
"beta_protocol[8, beta_36]",0.289,0.082,0.136,0.443
"beta_protocol[8, beta_37]",0.095,0.062,-0.02,0.218
"beta_protocol[8, beta_38]",-0.132,0.068,-0.256,-0.001
"beta_protocol[8, beta_39]",-0.037,0.04,-0.113,0.033
"beta_protocol[10, beta_0]",-0.099,0.051,-0.193,-0.005
"beta_protocol[10, beta_1]",0.209,0.053,0.111,0.306
"beta_protocol[10, beta_2]",-0.05,0.056,-0.147,0.063
"beta_protocol[10, beta_3]",0.12,0.057,0.014,0.227
"beta_protocol[10, beta_4]",-0.128,0.045,-0.214,-0.046
"beta_protocol[10, beta_5]",-0.007,0.052,-0.105,0.088
"beta_protocol[10, beta_6]",-0.188,0.052,-0.284,-0.091
"beta_protocol[10, beta_7]",-0.307,0.074,-0.447,-0.171
"beta_protocol[10, beta_8]",-0.189,0.059,-0.299,-0.074
"beta_protocol[10, beta_9]",0.22,0.048,0.128,0.313
"beta_protocol[10, beta_10]",-0.212,0.053,-0.314,-0.115
"beta_protocol[10, beta_11]",-0.077,0.079,-0.214,0.082
"beta_protocol[10, beta_12]",0.086,0.053,-0.008,0.193
"beta_protocol[10, beta_13]",0.18,0.079,0.027,0.329
"beta_protocol[10, beta_14]",0.059,0.048,-0.027,0.154
"beta_protocol[10, beta_15]",0.018,0.059,-0.089,0.125
"beta_protocol[10, beta_16]",0.37,0.056,0.268,0.48
"beta_protocol[10, beta_17]",0.394,0.087,0.235,0.564
"beta_protocol[10, beta_18]",0.205,0.043,0.121,0.281
"beta_protocol[10, beta_19]",0.09,0.069,-0.032,0.224
"beta_protocol[10, beta_20]",0.105,0.038,0.032,0.177
"beta_protocol[10, beta_21]",-0.213,0.113,-0.438,-0.012
"beta_protocol[10, beta_22]",-0.012,0.052,-0.113,0.087
"beta_protocol[10, beta_23]",-0.088,0.063,-0.208,0.027
"beta_protocol[10, beta_24]",0.161,0.051,0.063,0.251
"beta_protocol[10, beta_25]",0.443,0.101,0.261,0.627
"beta_protocol[10, beta_26]",0.108,0.044,0.027,0.192
"beta_protocol[10, beta_27]",0.327,0.101,0.119,0.502
"beta_protocol[10, beta_28]",0.414,0.054,0.316,0.517
"beta_protocol[10, beta_29]",0.245,0.049,0.151,0.337
"beta_protocol[10, beta_30]",-0.581,0.072,-0.724,-0.45
"beta_protocol[10, beta_31]",0.401,0.09,0.225,0.562
"beta_protocol[10, beta_32]",-0.227,0.051,-0.325,-0.131
"beta_protocol[10, beta_33]",-0.23,0.082,-0.381,-0.073
"beta_protocol[10, beta_34]",0.096,0.059,-0.013,0.207
"beta_protocol[10, beta_35]",-0.022,0.063,-0.137,0.098
"beta_protocol[10, beta_36]",-0.135,0.067,-0.266,-0.017
"beta_protocol[10, beta_37]",-0.065,0.05,-0.165,0.022
"beta_protocol[10, beta_38]",0.099,0.048,0.008,0.189
"beta_protocol[10, beta_39]",-0.125,0.033,-0.186,-0.063
"beta_protocol[0, beta_0]",-0.156,0.064,-0.272,-0.034
"beta_protocol[0, beta_1]",-0.318,0.074,-0.447,-0.168
"beta_protocol[0, beta_2]",-0.172,0.059,-0.287,-0.062
"beta_protocol[0, beta_3]",0.17,0.062,0.048,0.286
"beta_protocol[0, beta_4]",-0.229,0.06,-0.343,-0.116
"beta_protocol[0, beta_5]",-0.158,0.063,-0.276,-0.043
"beta_protocol[0, beta_6]",-0.275,0.074,-0.428,-0.146
"beta_protocol[0, beta_7]",0.07,0.093,-0.117,0.222
"beta_protocol[0, beta_8]",-0.362,0.073,-0.509,-0.239
"beta_protocol[0, beta_9]",0.253,0.061,0.156,0.389
"beta_protocol[0, beta_10]",-0.118,0.068,-0.247,0.006
"beta_protocol[0, beta_11]",0.491,0.111,0.281,0.699
"beta_protocol[0, beta_12]",0.145,0.066,0.014,0.255
"beta_protocol[0, beta_13]",0.364,0.117,0.153,0.583
"beta_protocol[0, beta_14]",-0.181,0.065,-0.301,-0.049
"beta_protocol[0, beta_15]",-0.191,0.07,-0.317,-0.057
"beta_protocol[0, beta_16]",0.52,0.072,0.389,0.656
"beta_protocol[0, beta_17]",-0.134,0.109,-0.323,0.09
"beta_protocol[0, beta_18]",0.414,0.06,0.297,0.522
"beta_protocol[0, beta_19]",0.197,0.098,0.018,0.382
"beta_protocol[0, beta_20]",0.132,0.051,0.033,0.228
"beta_protocol[0, beta_21]",-0.326,0.113,-0.541,-0.125
"beta_protocol[0, beta_22]",0.039,0.073,-0.099,0.174
"beta_protocol[0, beta_23]",-0.127,0.084,-0.294,0.018
"beta_protocol[0, beta_24]",0.143,0.074,0.003,0.278
"beta_protocol[0, beta_25]",0.889,0.126,0.656,1.121
"beta_protocol[0, beta_26]",0.198,0.053,0.099,0.296
"beta_protocol[0, beta_27]",0.274,0.109,0.084,0.488
"beta_protocol[0, beta_28]",0.252,0.079,0.097,0.392
"beta_protocol[0, beta_29]",0.245,0.065,0.132,0.373
"beta_protocol[0, beta_30]",-0.471,0.089,-0.632,-0.301
"beta_protocol[0, beta_31]",0.206,0.114,-0.003,0.431
"beta_protocol[0, beta_32]",-0.384,0.065,-0.505,-0.264
"beta_protocol[0, beta_33]",-0.539,0.101,-0.736,-0.354
"beta_protocol[0, beta_34]",-0.284,0.071,-0.417,-0.15
"beta_protocol[0, beta_35]",-0.17,0.078,-0.316,-0.022
"beta_protocol[0, beta_36]",0.299,0.08,0.142,0.442
"beta_protocol[0, beta_37]",0.044,0.064,-0.079,0.16
"beta_protocol[0, beta_38]",-0.046,0.067,-0.17,0.076
"beta_protocol[0, beta_39]",-0.038,0.038,-0.109,0.03
"beta_protocol[19, beta_0]",-0.265,0.051,-0.359,-0.165
"beta_protocol[19, beta_1]",-0.102,0.071,-0.241,0.032
"beta_protocol[19, beta_2]",-0.136,0.048,-0.223,-0.038
"beta_protocol[19, beta_3]",0.19,0.05,0.092,0.281
"beta_protocol[19, beta_4]",-0.256,0.044,-0.328,-0.162
"beta_protocol[19, beta_5]",-0.183,0.061,-0.307,-0.073
"beta_protocol[19, beta_6]",-0.323,0.062,-0.44,-0.209
"beta_protocol[19, beta_7]",0.006,0.077,-0.137,0.153
"beta_protocol[19, beta_8]",-0.371,0.058,-0.472,-0.256
"beta_protocol[19, beta_9]",0.378,0.058,0.272,0.488
"beta_protocol[19, beta_10]",-0.129,0.059,-0.235,-0.013
"beta_protocol[19, beta_11]",0.215,0.098,0.034,0.393
"beta_protocol[19, beta_12]",0.172,0.061,0.055,0.285
"beta_protocol[19, beta_13]",0.405,0.096,0.23,0.589
"beta_protocol[19, beta_14]",-0.042,0.051,-0.135,0.059
"beta_protocol[19, beta_15]",-0.081,0.054,-0.175,0.029
"beta_protocol[19, beta_16]",0.48,0.067,0.357,0.611
"beta_protocol[19, beta_17]",-0.003,0.091,-0.18,0.171
"beta_protocol[19, beta_18]",0.358,0.04,0.28,0.427
"beta_protocol[19, beta_19]",0.076,0.088,-0.092,0.237
"beta_protocol[19, beta_20]",0.201,0.047,0.117,0.295
"beta_protocol[19, beta_21]",-0.478,0.105,-0.666,-0.277
"beta_protocol[19, beta_22]",0.197,0.067,0.082,0.331
"beta_protocol[19, beta_23]",-0.015,0.065,-0.135,0.103
"beta_protocol[19, beta_24]",0.393,0.069,0.273,0.527
"beta_protocol[19, beta_25]",0.625,0.117,0.418,0.854
"beta_protocol[19, beta_26]",0.203,0.051,0.112,0.301
"beta_protocol[19, beta_27]",-0.038,0.079,-0.188,0.11
"beta_protocol[19, beta_28]",0.449,0.061,0.328,0.563
"beta_protocol[19, beta_29]",0.287,0.056,0.174,0.382
"beta_protocol[19, beta_30]",-0.49,0.083,-0.645,-0.336
"beta_protocol[19, beta_31]",0.605,0.105,0.411,0.801
"beta_protocol[19, beta_32]",-0.186,0.068,-0.31,-0.066
"beta_protocol[19, beta_33]",-0.119,0.106,-0.326,0.067
"beta_protocol[19, beta_34]",-0.098,0.07,-0.227,0.034
"beta_protocol[19, beta_35]",-0.165,0.071,-0.3,-0.035
"beta_protocol[19, beta_36]",-0.022,0.079,-0.172,0.124
"beta_protocol[19, beta_37]",0.015,0.05,-0.079,0.106
"beta_protocol[19, beta_38]",-0.064,0.062,-0.178,0.054
"beta_protocol[19, beta_39]",-0.089,0.034,-0.157,-0.03
"beta_protocol[12, beta_0]",-0.101,0.052,-0.194,0.004
"beta_protocol[12, beta_1]",0.166,0.054,0.061,0.263
"beta_protocol[12, beta_2]",-0.033,0.062,-0.146,0.08
"beta_protocol[12, beta_3]",0.108,0.057,0.006,0.219
"beta_protocol[12, beta_4]",-0.137,0.045,-0.229,-0.06
"beta_protocol[12, beta_5]",0.017,0.052,-0.076,0.119
"beta_protocol[12, beta_6]",-0.131,0.058,-0.23,-0.022
"beta_protocol[12, beta_7]",-0.279,0.073,-0.424,-0.151
"beta_protocol[12, beta_8]",-0.173,0.06,-0.275,-0.046
"beta_protocol[12, beta_9]",0.226,0.053,0.125,0.325
"beta_protocol[12, beta_10]",-0.194,0.052,-0.29,-0.093
"beta_protocol[12, beta_11]",-0.051,0.077,-0.193,0.093
"beta_protocol[12, beta_12]",0.097,0.053,0.001,0.2
"beta_protocol[12, beta_13]",0.037,0.069,-0.094,0.168
"beta_protocol[12, beta_14]",0.109,0.047,0.017,0.196
"beta_protocol[12, beta_15]",0.017,0.056,-0.081,0.12
"beta_protocol[12, beta_16]",0.381,0.058,0.271,0.487
"beta_protocol[12, beta_17]",0.435,0.09,0.263,0.598
"beta_protocol[12, beta_18]",0.197,0.044,0.11,0.272
"beta_protocol[12, beta_19]",0.006,0.068,-0.119,0.132
"beta_protocol[12, beta_20]",0.102,0.04,0.028,0.177
"beta_protocol[12, beta_21]",-0.248,0.112,-0.458,-0.028
"beta_protocol[12, beta_22]",0.023,0.055,-0.078,0.126
